City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,San Rafael Del Sur,11.8485,-86.4384,83.37,58,4,10.54,NI,2021-11-21 15:19:14
68,Cowra,-33.8333,148.6833,57.27,75,100,14.25,AU,2021-11-21 15:19:15
69,Kaitangata,-46.2817,169.8464,51.04,95,100,4.41,NZ,2021-11-21 15:19:15
70,Avarua,-21.2078,-159.775,73.45,88,40,1.14,CK,2021-11-21 15:19:16
71,Hilo,19.7297,-155.09,72.81,93,90,5.75,US,2021-11-21 15:19:16
72,Zhigansk,66.7697,123.3711,-28.48,100,93,2.57,RU,2021-11-21 15:19:17
73,Khatanga,71.9667,102.5,-37.82,98,35,3.89,RU,2021-11-21 15:19:17
74,Ternate,0.8,127.4,82.2,78,69,4.92,ID,2021-11-21 15:19:17
75,Hasaki,35.7333,140.8333,55.8,68,100,21.34,JP,2021-11-21 15:16:00
76,Enid,36.3956,-97.8784,49.14,62,75,3.0,US,2021-11-21 15:19:18
77,Nemuro,43.3236,145.575,39.29,63,45,2.59,JP,2021-11-21 15:19:18
78,Port Blair,11.6667,92.75,81.68,83,44,8.79,IN,2021-11-21 15:19:19
79,Carnarvon,-24.8667,113.6333,68.07,68,40,14.97,AU,2021-11-21 15:19:19
80,Nikolskoye,59.7035,30.7861,33.87,92,67,6.06,RU,2021-11-21 15:19:19
81,Mataura,-46.1927,168.8643,50.34,100,100,1.83,NZ,2021-11-21 15:19:20
82,Kaeo,-35.1,173.7833,66.33,96,100,2.82,NZ,2021-11-21 15:19:20
83,Sao Felix Do Xingu,-6.6447,-51.995,93.87,44,48,2.77,BR,2021-11-21 15:19:21
84,Iyo,33.7514,132.7014,59.41,71,99,3.51,JP,2021-11-21 15:19:21
85,Chokurdakh,70.6333,147.9167,-15.07,100,94,2.64,RU,2021-11-21 15:19:21
86,Chuy,-33.6971,-53.4616,86.38,37,0,10.09,UY,2021-11-21 15:19:22
87,Victor Harbor,-35.5667,138.6167,58.8,79,17,11.16,AU,2021-11-21 15:19:22
88,Grand Forks,47.9417,-97.4337,19.33,65,1,24.16,US,2021-11-21 15:19:22
89,Thinadhoo,0.5333,72.9333,80.71,79,100,12.59,MV,2021-11-21 15:19:23
90,Kirakira,-10.4544,161.9205,80.15,82,12,5.57,SB,2021-11-21 15:19:23
91,Nanortalik,60.1432,-45.2371,35.37,98,100,9.8,GL,2021-11-21 15:19:24
92,Rivadavia,-33.1905,-68.4608,86.47,23,3,6.78,AR,2021-11-21 15:20:24
93,Berezovyy,51.6667,135.7,3.04,98,48,3.0,RU,2021-11-21 15:20:25
94,Coihaique,-45.5752,-72.0662,59.61,63,90,10.36,CL,2021-11-21 15:16:25
95,Grao Mogol,-16.5594,-42.8897,69.71,90,100,4.21,BR,2021-11-21 15:20:25
96,Cayenne,4.9333,-52.3333,87.84,78,75,3.0,GF,2021-11-21 15:20:26
97,Touros,-5.1989,-35.4608,90.5,52,6,12.59,BR,2021-11-21 15:20:27
98,Ossora,59.2353,163.0719,22.71,94,100,19.57,RU,2021-11-21 15:20:27
99,Tasiilaq,65.6145,-37.6368,28.56,91,100,4.43,GL,2021-11-21 15:20:27
100,Mao,39.8885,4.2658,61.36,88,20,8.05,ES,2021-11-21 15:16:49
101,Sao Joao Da Barra,-21.6403,-41.0511,77.09,63,62,12.12,BR,2021-11-21 15:20:28
102,Castro,-24.7911,-50.0119,75.02,41,30,4.27,BR,2021-11-21 15:20:28
103,Vaini,-21.2,-175.2,73.56,100,20,0.0,TO,2021-11-21 15:20:29
104,Bengkulu,-3.8004,102.2655,77.79,86,100,2.62,ID,2021-11-21 15:20:29
105,Requena,39.4883,-1.1004,60.13,53,100,7.43,ES,2021-11-21 15:20:29
106,Tuktoyaktuk,69.4541,-133.0374,-14.8,76,1,2.3,CA,2021-11-21 15:20:30
107,Yulara,-25.2406,130.9889,76.84,31,69,17.27,AU,2021-11-21 15:20:30
108,Yellowknife,62.456,-114.3525,-5.58,88,75,9.22,CA,2021-11-21 15:18:07
109,Havelock,34.8791,-76.9013,66.15,78,40,5.75,US,2021-11-21 15:20:31
110,Bonfim,3.0833,-59.95,83.44,68,100,4.94,BR,2021-11-21 15:20:31
111,Bredasdorp,-34.5322,20.0403,67.28,70,82,19.57,ZA,2021-11-21 15:20:31
112,Pitimbu,-7.4706,-34.8086,86.59,58,100,9.19,BR,2021-11-21 15:20:32
113,Muroto,33.2833,134.15,65.08,74,75,2.59,JP,2021-11-21 15:20:32
114,Zhuhai,22.2769,113.5678,75.11,88,20,5.75,CN,2021-11-21 15:20:32
115,Santa Rosa,14.3122,121.1114,83.1,86,35,4.65,PH,2021-11-21 15:20:15
116,Jamestown,42.097,-79.2353,44.19,48,1,1.99,US,2021-11-21 15:20:33
117,Nishihara,26.1842,127.7558,73.45,89,40,6.91,JP,2021-11-21 15:20:33
118,Kloulklubed,7.0419,134.2556,81.1,72,100,11.99,PW,2021-11-21 15:20:34
119,Cabo San Lucas,22.8909,-109.9124,76.51,62,1,8.05,MX,2021-11-21 15:19:11
120,Meadow Lake,34.8014,-106.5436,47.32,39,100,6.15,US,2021-11-21 15:20:35
121,Norman Wells,65.282,-126.8329,-14.76,76,75,5.75,CA,2021-11-21 15:20:35
122,East London,-33.0153,27.9116,70.74,83,75,19.57,ZA,2021-11-21 15:20:35
123,Lerwick,60.1545,-1.1494,42.8,69,86,11.74,GB,2021-11-21 15:20:36
124,Yaan,7.3833,8.5667,96.24,30,84,0.38,NG,2021-11-21 15:20:37
125,Lubbock,33.6001,-101.8338,51.39,43,90,4.0,US,2021-11-21 15:20:37
126,Tual,-5.6667,132.75,84.04,71,99,0.98,ID,2021-11-21 15:20:37
127,Cherskiy,68.75,161.3,-28.44,100,98,4.32,RU,2021-11-21 15:20:38
128,Newburn,54.9876,-1.7442,42.98,91,40,14.97,GB,2021-11-21 15:20:38
129,Saint-Pierre,-21.3393,55.4781,78.48,72,40,3.44,RE,2021-11-21 15:17:12
130,Camana,-16.6228,-72.7111,70.21,75,69,10.49,PE,2021-11-21 15:20:39
131,Sorland,67.667,12.6934,31.86,86,75,20.71,NO,2021-11-21 15:20:39
132,La Esperanza,14.8667,-91.5667,59.61,46,44,1.3,GT,2021-11-21 15:20:40
133,Rocha,-34.4833,-54.3333,89.98,30,1,13.67,UY,2021-11-21 15:20:40
134,Mabaruma,8.2,-59.7833,82.33,81,100,3.0,GY,2021-11-21 15:20:40
135,Damabalas,7.0156,124.5142,75.07,95,99,0.36,PH,2021-11-21 15:20:41
136,Katsuura,35.1333,140.3,59.02,71,100,21.36,JP,2021-11-21 15:20:41
137,Komsomolets,53.7453,62.0708,28.02,94,100,17.07,KZ,2021-11-21 15:20:41
138,Honiara,-9.4333,159.95,77.5,81,29,1.74,SB,2021-11-21 15:17:14
139,Vostok,46.4856,135.8833,21.56,87,100,4.16,RU,2021-11-21 15:21:42
140,Alappuzha,9.49,76.3264,79.63,75,83,4.63,IN,2021-11-21 15:21:42
141,Saint-Philippe,-21.3585,55.7679,78.39,75,35,7.56,RE,2021-11-21 15:21:43
142,Matinha,-3.1006,-45.0336,91.44,50,36,8.1,BR,2021-11-21 15:21:44
143,Longyearbyen,78.2186,15.6401,4.84,66,40,5.75,SJ,2021-11-21 15:21:44
144,Choya,52.0108,86.5467,19.81,92,100,4.14,RU,2021-11-21 15:21:45
145,Chimbote,-9.0853,-78.5783,68.41,75,100,7.43,PE,2021-11-21 15:21:45
146,Grand Gaube,-20.0064,57.6608,77.4,66,0,5.01,MU,2021-11-21 15:21:46
147,Mouzouras,35.5333,24.15,61.43,77,75,0.0,GR,2021-11-21 15:21:46
148,Qaanaaq,77.484,-69.3632,-7.46,62,5,7.25,GL,2021-11-21 15:21:46
149,Burnie,-41.0667,145.9167,48.94,80,58,3.33,AU,2021-11-21 15:21:47
150,Tilichiki,60.4667,166.1,-0.27,96,34,11.14,RU,2021-11-21 15:21:47
151,Puro,12.4841,123.3827,80.22,86,63,6.13,PH,2021-11-21 15:21:47
